latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
51.41681,135.02258,314.21,1.34,1.15,2026-05-22,0009,T,46,6.1NRT,293.98,12.82,D
-13.74702,132.04478,307.04,2.93,1.63,2026-05-22,0026,T,54,6.1NRT,294.18,18.19,D
50.49301,136.85947,319.3,1.12,1.06,2026-05-22,0009,T,59,6.1NRT,294.06,16.57,D
51.37133,134.75432,322.25,1.37,1.16,2026-05-22,0009,T,63,6.1NRT,293.08,26.79,D
50.94123,131.57576,302.32,1.91,1.35,2026-05-22,0009,T,51,6.1NRT,277.75,16.98,D
-13.83051,131.59418,312.87,2.7,1.57,2026-05-22,0026,T,68,6.1NRT,294.93,31.7,D
51.35417,134.82677,337.95,1.36,1.16,2026-05-22,0009,T,87,6.1NRT,297.5,54.99,D
50.93584,131.56944,307.15,1.91,1.35,2026-05-22,0009,T,65,6.1NRT,277.5,25.24,D
-13.83318,131.61745,315.64,2.71,1.58,2026-05-22,0026,T,72,6.1NRT,294.93,41.97,D
51.34573,134.80544,322.94,1.37,1.16,2026-05-22,0009,T,45,6.1NRT,295.54,24.69,D
50.85394,132.37964,318.74,1.74,1.29,2026-05-22,0009,T,79,6.1NRT,290.06,35.04,D
-13.73367,130.65356,307.76,2.27,1.46,2026-05-22,0026,T,42,6.1NRT,295.7,13.89,D
51.34399,134.82428,327.65,1.36,1.16,2026-05-22,0009,T,78,6.1NRT,296.44,33.77,D
50.85213,132.40381,302.34,1.74,1.29,2026-05-22,0009,T,47,6.1NRT,288.15,8.61,D
-13.83614,131.58826,309.33,2.7,1.57,2026-05-22,0026,T,60,6.1NRT,294.28,20.94,D
51.29438,133.28378,306.32,1.6,1.24,2026-05-22,0009,T,58,6.1NRT,290.14,11.53,D
50.94584,130.40858,315.57,2.19,1.44,2026-05-22,0009,T,52,6.1NRT,271.45,41.92,D
-13.83868,131.61188,317.54,2.71,1.58,2026-05-22,0026,T,74,6.1NRT,294.61,49.49,D
51.28336,133.28209,309.37,1.6,1.24,2026-05-22,0009,T,68,6.1NRT,290.53,15.87,D
50.92251,130.36665,310.44,2.2,1.44,2026-05-22,0009,T,50,6.1NRT,271.49,31.52,D
-13.9841,130.34837,311.54,2.16,1.43,2026-05-22,0026,T,56,6.1NRT,295.42,16.93,D
51.28162,133.30408,300.7,1.59,1.24,2026-05-22,0009,T,14,6.1NRT,290.33,5.31,D
50.73849,132.40295,300.89,1.73,1.29,2026-05-22,0009,T,30,6.1NRT,288.36,8.13,D
51.16317,134.69254,328.57,1.37,1.16,2026-05-22,0009,T,86,6.1NRT,295.13,40.89,D
-13.98488,130.34171,311.54,2.16,1.43,2026-05-22,0026,T,65,6.1NRT,295.31,17.88,D
50.56367,133.59467,319.15,1.51,1.21,2026-05-22,0009,T,76,6.1NRT,292.72,25.67,D
-14.20941,130.05164,313.42,2.07,1.4,2026-05-22,0026,T,69,6.1NRT,296.52,23.19,D
50.56187,133.61565,324,1.51,1.21,2026-05-22,0009,T,83,6.1NRT,292.78,34.19,D
-14.22178,130.05017,311.18,2.07,1.4,2026-05-22,0026,T,62,6.1NRT,295.24,17.67,D
50.53235,132.42741,303.79,1.72,1.29,2026-05-22,0009,T,53,6.1NRT,290.44,8.49,D
-14.21218,130.04552,315.21,2.07,1.4,2026-05-22,0026,T,72,6.1NRT,295.97,28.32,D
50.64601,130.25041,303.7,2.22,1.44,2026-05-22,0009,T,32,6.1NRT,267.87,21.69,D
-14.21429,130.06418,310.59,2.07,1.4,2026-05-22,0026,T,64,6.1NRT,296.73,17.44,D
50.6424,130.31236,312.3,2.2,1.44,2026-05-22,0009,T,72,6.1NRT,268.25,40.64,D
-14.02535,127.14442,311.88,1.27,1.12,2026-05-22,0026,T,51,6.1NRT,297.45,8.65,D
49.99089,136.33488,309.28,1.15,1.07,2026-05-22,0009,T,56,6.1NRT,294.09,8.02,D
-14.04272,127.11298,310.31,1.27,1.12,2026-05-22,0026,T,58,6.1NRT,297.66,7.5,D
49.98571,136.38179,316.96,1.15,1.07,2026-05-22,0009,T,39,6.1NRT,294.41,13.89,D
-14.07283,126.95909,310.43,1.24,1.11,2026-05-22,0026,T,58,6.1NRT,296.11,6.83,D
49.97634,136.37939,316.42,1.15,1.07,2026-05-22,0009,T,41,6.1NRT,293.58,13.48,D
-14.09689,126.99029,311.18,1.25,1.11,2026-05-22,0026,T,61,6.1NRT,297.64,7.3,D
49.37099,135.73633,309.45,1.19,1.08,2026-05-22,0009,T,40,6.1NRT,295.04,6.45,D
-14.12484,127.12552,320.09,1.27,1.12,2026-05-22,0026,T,76,6.1NRT,298.11,17.16,D
49.36319,135.71799,312.64,1.19,1.09,2026-05-22,0009,T,56,6.1NRT,296.23,8.92,D
-14.12516,127.11896,317.19,1.27,1.12,2026-05-22,0026,T,60,6.1NRT,297.65,13.3,D
49.33456,135.71098,313.25,1.19,1.09,2026-05-22,0009,T,72,6.1NRT,296.97,9.91,D
-14.12662,127.13044,313.53,1.27,1.12,2026-05-22,0026,T,24,6.1NRT,297.65,9.11,D
49.34898,135.48233,318.3,1.21,1.1,2026-05-22,0009,T,78,6.1NRT,295.31,16.45,D
